term,documentFrequency,termFrequency,score,sourceIds
amino acid sequence,2,3,5.340435,BK0185;BK0372
cd8 cell responses,2,3,5.340435,BK0040;BK0125
cell antigen receptor,2,3,5.340435,BK0034;BK0366
chronic myeloid leukaemia,2,3,5.340435,BK0043;BK0062
conjugating deconjugating enzymes,2,3,5.340435,BK0152;BK0354
cortex spinal cord,2,3,5.340435,BK0020;BK0063
efficiency antigen recognition,2,3,5.340435,BK0368;BK0370
endothelial growth factor,2,3,5.340435,BK0236;BK0312
extracts intact cells,2,3,5.340435,BK0207;BK0346
growth hormone receptor,2,3,5.340435,BK0129;BK0291
human cerebrospinal fluid,2,3,5.340435,BK0027;BK0038
inflammatory bowel disease,2,3,5.340435,BK0101;BK0182
inhibitors targeting usp30,2,3,5.340435,BK0018;BK0042
key cellular processes,2,3,5.340435,BK0004;BK0197
molecular mass kda,2,3,5.340435,BK0372;BK0373
patients ankylosing spondylitis,2,3,5.340435,BK0255;BK0312
plasma samples collected,2,3,5.340435,BK0014;BK0051
prolyl asparaginyl hydroxylation,2,3,5.340435,BK0277;BK0316
prostate cancer cells,2,3,5.340435,BK0211;BK0302
protein profiling abpp,2,3,5.340435,BK0035;BK0046
repressive complex prc1,2,3,5.340435,BK0190;BK0262
residues ankyrin repeat,2,3,5.340435,BK0279;BK0327
restart stalled replication,2,3,5.340435,BK0071;BK0178
sperm seminal fluid,2,3,5.340435,BK0086;BK0106
stress granule formation,2,3,5.340435,BK0079;BK0225
transcriptional activation domain,2,3,5.340435,BK0273;BK0279
ubiquitin proteasome pathway,2,3,5.340435,BK0304;BK0312
vascular endothelial growth,2,3,5.340435,BK0236;BK0312
vinyl sulfone inhibitor,2,3,5.340435,BK0358;BK0360
weighted correlation network,2,3,5.340435,BK0027;BK0068
alpha dependent,2,4,5.169925,BK0208;BK0209
atp synthase,2,4,5.169925,BK0203;BK0303
autophagy gene,2,4,5.169925,BK0200;BK0300
beta cell,2,4,5.169925,BK0171;BK0303
blocking cd8,2,4,5.169925,BK0367;BK0368
calcium signaling,2,4,5.169925,BK0214;BK0308
cdna clones,2,4,5.169925,BK0372;BK0373
cells lacking,2,4,5.169925,BK0092;BK0107
cerebral cortex,2,4,5.169925,BK0020;BK0362
class peptides,2,4,5.169925,BK0125;BK0204
clinical outcomes,2,4,5.169925,BK0023;BK0034
correlation network,2,4,5.169925,BK0027;BK0068
crc cells,2,4,5.169925,BK0123;BK0322
deep proteome,2,4,5.169925,BK0103;BK0159
driver mutations,2,4,5.169925,BK0011;BK0036
frequency serial,2,4,5.169925,BK0368;BK0370
glycolytic metabolism,2,4,5.169925,BK0100;BK0200
host cell,2,4,5.169925,BK0168;BK0282
hydroxylation sites,2,4,5.169925,BK0277;BK0316
immune complexes,2,4,5.169925,BK0311;BK0349
implant retention,2,4,5.169925,BK0154;BK0172
lysine demethylases,2,4,5.169925,BK0105;BK0156
mild disease,2,4,5.169925,BK0015;BK0080
molecular mass,2,4,5.169925,BK0372;BK0373
muscle cells,2,4,5.169925,BK0045;BK0083
natural igm,2,4,5.169925,BK0332;BK0335
nlrp3 inflammasome,2,4,5.169925,BK0030;BK0067
p300 cbp,2,4,5.169925,BK0153;BK0277
pad2 pad4,2,4,5.169925,BK0181;BK0206
plasma proteome,2,4,5.169925,BK0186;BK0239
progression rate,2,4,5.169925,BK0027;BK0122
prolyl hydroxylase,2,4,5.169925,BK0225;BK0288
prolyl hydroxylation,2,4,5.169925,BK0225;BK0277
proteasomal degradation,2,4,5.169925,BK0126;BK0265
proteasomal proteolysis,2,4,5.169925,BK0272;BK0357
protein extracts,2,4,5.169925,BK0207;BK0346
response oxidative,2,4,5.169925,BK0079;BK0265
restart stalled,2,4,5.169925,BK0071;BK0178
serial tcr,2,4,5.169925,BK0368;BK0370
statistical learning,2,4,5.169925,BK0139;BK0238
tissue injury,2,4,5.169925,BK0049;BK0055
ubiquitin isg15,2,4,5.169925,BK0054;BK0213
ubiquitination sites,2,4,5.169925,BK0249;BK0313
urine recirculation,2,4,5.169925,BK0008;BK0075
acid sequence,2,3,4.643856,BK0185;BK0372
activation repression,2,3,4.643856,BK0211;BK0276
als disease,2,3,4.643856,BK0063;BK0068
antibody response,2,3,4.643856,BK0151;BK0217
anticancer drugs,2,3,4.643856,BK0155;BK0195
asparaginyl residues,2,3,4.643856,BK0316;BK0327
avidity binding,2,3,4.643856,BK0368;BK0369
beta beta,2,3,4.643856,BK0030;BK0357
binding activity,2,3,4.643856,BK0144;BK0314
binding affinity,2,3,4.643856,BK0046;BK0371
biomarkers human,2,3,4.643856,BK0137;BK0149
bloom syndrome,2,3,4.643856,BK0024;BK0071
bortezomib resistance,2,3,4.643856,BK0251;BK0334
bowel disease,2,3,4.643856,BK0101;BK0182
break repair,2,3,4.643856,BK0026;BK0119
cancer immunotherapy,2,3,4.643856,BK0132;BK0155
cd8 epitopes,2,3,4.643856,BK0040;BK0080
cell recognition,2,3,4.643856,BK0341;BK0366
cell viability,2,3,4.643856,BK0153;BK0293
cells dcs,2,3,4.643856,BK0170;BK0326
cells deficient,2,3,4.643856,BK0024;BK0202
chronic myeloid,2,3,4.643856,BK0043;BK0062
clinical samples,2,3,4.643856,BK0186;BK0254
clones specific,2,3,4.643856,BK0368;BK0369
cofactor strap,2,3,4.643856,BK0203;BK0320
cohort patients,2,3,4.643856,BK0037;BK0230
cold ischemia,2,3,4.643856,BK0052;BK0299
complex hslv,2,3,4.643856,BK0358;BK0360
complex prc1,2,3,4.643856,BK0190;BK0262
composition transfer,2,3,4.643856,BK0021;BK0086
confidence interval,2,3,4.643856,BK0172;BK0219
conjugating deconjugating,2,3,4.643856,BK0152;BK0354
cortex spinal,2,3,4.643856,BK0020;BK0063
crystal formation,2,3,4.643856,BK0189;BK0281
csf extracellular,2,3,4.643856,BK0082;BK0145
ctl response,2,3,4.643856,BK0368;BK0369
cyld interacts,2,3,4.643856,BK0194;BK0301
dbd kidneys,2,3,4.643856,BK0047;BK0070
differentially expressed,2,3,4.643856,BK0241;BK0329
direct interaction,2,3,4.643856,BK0130;BK0328
disease cancer,2,3,4.643856,BK0175;BK0283
distal ubiquitin,2,3,4.643856,BK0147;BK0193
dub enzyme,2,3,4.643856,BK0018;BK0227
endometriosis patients,2,3,4.643856,BK0081;BK0292
endothelial growth,2,3,4.643856,BK0236;BK0312
epigenetic regulation,2,3,4.643856,BK0156;BK0169
eukaryotic proteasome,2,3,4.643856,BK0358;BK0360
extracts intact,2,3,4.643856,BK0207;BK0346
falciparum proteins,2,3,4.643856,BK0239;BK0266
freely available,2,3,4.643856,BK0222;BK0274
glucose uptake,2,3,4.643856,BK0095;BK0308
granule formation,2,3,4.643856,BK0079;BK0225
hdac inhibitor,2,3,4.643856,BK0232;BK0251
healthy individuals,2,3,4.643856,BK0014;BK0257
hif alpha,2,3,4.643856,BK0277;BK0288
hif prolyl,2,3,4.643856,BK0268;BK0287
histone acetylation,2,3,4.643856,BK0084;BK0121
hlrcc tumours,2,3,4.643856,BK0229;BK0271
hormone receptor,2,3,4.643856,BK0129;BK0291
hsluv complex,2,3,4.643856,BK0358;BK0360
hslv protease,2,3,4.643856,BK0358;BK0360
human cerebrospinal,2,3,4.643856,BK0027;BK0038
human kidney,2,3,4.643856,BK0088;BK0189
immunological disorders,2,3,4.643856,BK0103;BK0227
independent predictors,2,3,4.643856,BK0172;BK0198
induces apoptosis,2,3,4.643856,BK0019;BK0251
infected cells,2,3,4.643856,BK0176;BK0282
inhibitors targeting,2,3,4.643856,BK0018;BK0042
inhibitory factor,2,3,4.643856,BK0124;BK0321
intracellular fumarate,2,3,4.643856,BK0160;BK0237
involved redox,2,3,4.643856,BK0229;BK0329
ischaemia reperfusion,2,3,4.643856,BK0088;BK0136
key cellular,2,3,4.643856,BK0004;BK0197
kidney stone,2,3,4.643856,BK0189;BK0281
kinase domain,2,3,4.643856,BK0060;BK0322
kinase inhibitors,2,3,4.643856,BK0107;BK0195
lipid storage,2,3,4.643856,BK0050;BK0094
liver metastasis,2,3,4.643856,BK0113;BK0123
liver metastatic,2,3,4.643856,BK0113;BK0123
mass kda,2,3,4.643856,BK0372;BK0373
mild cases,2,3,4.643856,BK0080;BK0239
mitochondrial membrane,2,3,4.643856,BK0020;BK0092
model pigs,2,3,4.643856,BK0129;BK0135
molecular function,2,3,4.643856,BK0291;BK0317
molecular probes,2,3,4.643856,BK0256;BK0348
muscle physiology,2,3,4.643856,BK0028;BK0045
myeloid leukaemia,2,3,4.643856,BK0043;BK0062
pancreas liver,2,3,4.643856,BK0171;BK0267
patients ankylosing,2,3,4.643856,BK0255;BK0312
peptide presentation,2,3,4.643856,BK0176;BK0218
peptide protein,2,3,4.643856,BK0064;BK0222
phosphorylation serine,2,3,4.643856,BK0168;BK0280
polyubiquitin chains,2,3,4.643856,BK0091;BK0317
porcine kidney,2,3,4.643856,BK0052;BK0140
porphyromonas gingivalis,2,3,4.643856,BK0151;BK0163
primary cells,2,3,4.643856,BK0031;BK0243
profiling abpp,2,3,4.643856,BK0035;BK0046
profiling deubiquitylating,2,3,4.643856,BK0046;BK0056
protease family,2,3,4.643856,BK0275;BK0348
proteasomal processing,2,3,4.643856,BK0040;BK0215
proteasome pathway,2,3,4.643856,BK0304;BK0312
protein spots,2,3,4.643856,BK0303;BK0308
protein succination,2,3,4.643856,BK0237;BK0271
proteins upregulated,2,3,4.643856,BK0027;BK0113
proteolytic activity,2,3,4.643856,BK0049;BK0346
proteome degradome,2,3,4.643856,BK0049;BK0186
quality quantity,2,3,4.643856,BK0215;BK0361
readily accessible,2,3,4.643856,BK0187;BK0364
recruitment dna,2,3,4.643856,BK0024;BK0216
reduced expression,2,3,4.643856,BK0045;BK0200
renal transplant,2,3,4.643856,BK0032;BK0254
reproductive tract,2,3,4.643856,BK0114;BK0267
residues ankyrin,2,3,4.643856,BK0279;BK0327
reticulum aminopeptidase,2,3,4.643856,BK0218;BK0275
reversible ubiquitylation,2,3,4.643856,BK0033;BK0118
rnai screening,2,3,4.643856,BK0211;BK0310
ser thr,2,3,4.643856,BK0002;BK0353
signaling inhibition,2,3,4.643856,BK0007;BK0098
sirt1 deacetylase,2,3,4.643856,BK0104;BK0347
sites proteins,2,3,4.643856,BK0205;BK0313
sperm transfer,2,3,4.643856,BK0086;BK0106
stem cell,2,3,4.643856,BK0004;BK0325
stop codon,2,3,4.643856,BK0223;BK0226
stress granule,2,3,4.643856,BK0079;BK0225
substrates fih,2,3,4.643856,BK0286;BK0316
sulfone inhibitor,2,3,4.643856,BK0358;BK0360
target loci,2,3,4.643856,BK0167;BK0180
targeting usp30,2,3,4.643856,BK0018;BK0042
tissues organs,2,3,4.643856,BK0171;BK0206
tumour growth,2,3,4.643856,BK0165;BK0200
vascular endothelial,2,3,4.643856,BK0236;BK0312
weighted correlation,2,3,4.643856,BK0027;BK0068
active probe specific,2,2,4.6,BK0342;BK0363
acts negative regulator,2,2,4.6,BK0147;BK0279
acute inflammatory response,2,2,4.6,BK0332;BK0335
advanced proteomic techniques,2,2,4.6,BK0002;BK0062
alpha rmi1 rmi2,2,2,4.6,BK0024;BK0071
amino acid transporter,2,2,4.6,BK0001;BK0134
amino acid transporters,2,2,4.6,BK0001;BK0263
aminohexanoyl leucinyl vinyl,2,2,4.6,BK0357;BK0364
ankylosing spondylitis common,2,2,4.6,BK0255;BK0257
ankyrin repeat domains,2,2,4.6,BK0279;BK0327
ankyrin repeat proteins,2,2,4.6,BK0279;BK0316
antigen presenting cells,2,2,4.6,BK0357;BK0361
ard containing proteins,2,2,4.6,BK0273;BK0316
arginine methylation regulates,2,2,4.6,BK0252;BK0319
arginine residues citrulline,2,2,4.6,BK0123;BK0175
arthritis healthy controls,2,2,4.6,BK0255;BK0312
assembly complex lubac,2,2,4.6,BK0147;BK0194
autophagy gene atg7,2,2,4.6,BK0200;BK0300
ber cellular pathway,2,2,4.6,BK0202;BK0318
ber dna polymerase,2,2,4.6,BK0293;BK0318
binding peptide derivative,2,2,4.6,BK0367;BK0369
biomarkers amyotrophic lateral,2,2,4.6,BK0027;BK0122
blm interacts topoisomerase,2,2,4.6,BK0024;BK0071
blocking cd8 participation,2,2,4.6,BK0367;BK0368
bloom syndrome helicase,2,2,4.6,BK0024;BK0071
brain dead donor,2,2,4.6,BK0052;BK0070
break dsb repair,2,2,4.6,BK0110;BK0142
breast cancer cells,2,2,4.6,BK0077;BK0159
btr complex dissolves,2,2,4.6,BK0024;BK0071
cancer cell line,2,2,4.6,BK0095;BK0321
cancer leading cause,2,2,4.6,BK0003;BK0037
cause death children,2,2,4.6,BK0137;BK0219
cd4 sup sup,2,2,4.6,BK0015;BK0080
cd8 participation binding,2,2,4.6,BK0367;BK0368
cd8 sup sup,2,2,4.6,BK0040;BK0080
cell cycle checkpoint,2,2,4.6,BK0146;BK0179
cells hdac inhibition,2,2,4.6,BK0084;BK0196
cellular processes cell,2,2,4.6,BK0004;BK0354
cellular target engagement,2,2,4.6,BK0046;BK0056
cerebral malaria severe,2,2,4.6,BK0137;BK0138
changes seminal proteome,2,2,4.6,BK0064;BK0098
children severe malaria,2,2,4.6,BK0219;BK0239
chromatography coupled electrospray,2,2,4.6,BK0282;BK0312
chronic obstructive pulmonary,2,2,4.6,BK0120;BK0206
circulatory death dcd,2,2,4.6,BK0049;BK0075
circumsporozoite peptide pbcs,2,2,4.6,BK0367;BK0368
circumsporozoite peptide syipsaeki,2,2,4.6,BK0366;BK0369
class antigen presentation,2,2,4.6,BK0349;BK0364
clones specific photoreactive,2,2,4.6,BK0368;BK0369
collision energy switching,2,2,4.6,BK0281;BK0312
colon cancer cell,2,2,4.6,BK0095;BK0113
colorectal cancer liver,2,2,4.6,BK0113;BK0123
combined mass spectrometry,2,2,4.6,BK0016;BK0249
common inflammatory rheumatic,2,2,4.6,BK0255;BK0257
complex class antigen,2,2,4.6,BK0357;BK0364
complex covalent inhibitor,2,2,4.6,BK0018;BK0213
complex dissolves double,2,2,4.6,BK0024;BK0071
complexes prc1 prc2,2,2,4.6,BK0180;BK0231
components extracellular matrix,2,2,4.6,BK0311;BK0321
composed amino acids,2,2,4.6,BK0372;BK0373
conjugated target proteins,2,2,4.6,BK0009;BK0212
controlling cell cycle,2,2,4.6,BK0107;BK0296
coupled electrospray ionisation,2,2,4.6,BK0282;BK0312
csf extracellular vesicle,2,2,4.6,BK0082;BK0145
ctl clones specific,2,2,4.6,BK0368;BK0369
cysteine residues protein,2,2,4.6,BK0133;BK0287
cytotoxic lymphocyte ctl,2,2,4.6,BK0361;BK0370
death dbd kidneys,2,2,4.6,BK0047;BK0070
decreased cell viability,2,2,4.6,BK0153;BK0293
dendritic cell maturation,2,2,4.6,BK0102;BK0349
dendritic cells dcs,2,2,4.6,BK0170;BK0326
dependent oxygenase catalyzes,2,2,4.6,BK0143;BK0226
diffuse large lymphoma,2,2,4.6,BK0196;BK0334
dissolves double holliday,2,2,4.6,BK0024;BK0071
diverse cellular functions,2,2,4.6,BK0225;BK0252
dna break dsb,2,2,4.6,BK0110;BK0142
dna damage repair,2,2,4.6,BK0212;BK0269
dna polymerase beta,2,2,4.6,BK0293;BK0318
dna replication forks,2,2,4.6,BK0090;BK0178
dna replication repair,2,2,4.6,BK0179;BK0201
domain ard containing,2,2,4.6,BK0273;BK0316
double holliday junctions,2,2,4.6,BK0024;BK0071
efficiency mhc class,2,2,4.6,BK0357;BK0361
electrospray ionisation mass,2,2,4.6,BK0282;BK0312
encoding krebs cycle,2,2,4.6,BK0237;BK0271
enzyme dub inhibitors,2,2,4.6,BK0056;BK0272
exhibited rapid complex,2,2,4.6,BK0368;BK0370
expression profiling performance,2,2,4.6,BK0282;BK0312
expression remains poorly,2,2,4.6,BK0084;BK0127
expression sarcomeric proteins,2,2,4.6,BK0045;BK0083
extracellular matrix ecm,2,2,4.6,BK0113;BK0242
extracellular vesicles evs,2,2,4.6,BK0082;BK0145
facilities pipeline cpfp,2,2,4.6,BK0274;BK0297
factor factor hif,2,2,4.6,BK0288;BK0316
factor hif regulated,2,2,4.6,BK0277;BK0327
factor inhibiting factor,2,2,4.6,BK0316;BK0327
factor rheumatoid arthritis,2,2,4.6,BK0151;BK0206
family deubiquitinating enzymes,2,2,4.6,BK0211;BK0359
family ubiquitin ligases,2,2,4.6,BK0033;BK0126
fatty acids lipids,2,2,4.6,BK0166;BK0248
female physiology behavior,2,2,4.6,BK0064;BK0114
fh1 murine deficient,2,2,4.6,BK0237;BK0271
fluid csf samples,2,2,4.6,BK0093;BK0122
form btr complex,2,2,4.6,BK0024;BK0071
fumarate act oncometabolite,2,2,4.6,BK0229;BK0271
fumarate hydratase predispose,2,2,4.6,BK0229;BK0271
function deubiquitinating enzymes,2,2,4.6,BK0045;BK0285
functional proteomics active,2,2,4.6,BK0345;BK0356
gene atg7 hematopoietic,2,2,4.6,BK0200;BK0300
gene encoding krebs,2,2,4.6,BK0237;BK0271
gene expression changes,2,2,4.6,BK0202;BK0308
gene expression profiling,2,2,4.6,BK0287;BK0326
gene expression remains,2,2,4.6,BK0084;BK0127
generation antigenic peptides,2,2,4.6,BK0324;BK0361
hallmark amyotrophic lateral,2,2,4.6,BK0020;BK0063
healthy disease controls,2,2,4.6,BK0027;BK0122
heat shock protein,2,2,4.6,BK0303;BK0334
helicase blm interacts,2,2,4.6,BK0024;BK0071
hif fih catalyzes,2,2,4.6,BK0286;BK0327
hif prolyl hydroxylases,2,2,4.6,BK0268;BK0287
hif transcriptional activity,2,2,4.6,BK0268;BK0273
histone deacetylase hdac,2,2,4.6,BK0196;BK0232
hla class peptides,2,2,4.6,BK0125;BK0204
human protein kinase,2,2,4.6,BK0060;BK0195
hydratase predispose hereditary,2,2,4.6,BK0229;BK0271
hydroxylase factor inhibiting,2,2,4.6,BK0316;BK0327
hypoxic response animals,2,2,4.6,BK0223;BK0288
iii alpha rmi1,2,2,4.6,BK0024;BK0071
immune escape mechanisms,2,2,4.6,BK0066;BK0361
immunofluorescence flow cytometry,2,2,4.6,BK0102;BK0140
implant retention dair,2,2,4.6,BK0154;BK0172
implicated diverse cellular,2,2,4.6,BK0225;BK0252
inflammatory gene expression,2,2,4.6,BK0061;BK0175
inflammatory rheumatic disease,2,2,4.6,BK0255;BK0257
inhibiting hif fih,2,2,4.6,BK0316;BK0327
innate immune sensing,2,2,4.6,BK0097;BK0170
interactions tcr photoaffinity,2,2,4.6,BK0368;BK0370
interacts topoisomerase iii,2,2,4.6,BK0024;BK0071
involved dna damage,2,2,4.6,BK0253;BK0269
involved dna repair,2,2,4.6,BK0272;BK0293
involved glucose metabolism,2,2,4.6,BK0075;BK0112
involved host defense,2,2,4.6,BK0014;BK0058
ionization mass spectrometry,2,2,4.6,BK0292;BK0337
joints patients rheumatoid,2,2,4.6,BK0181;BK0311
kidneys subjected min,2,2,4.6,BK0032;BK0136
label free proteomics,2,2,4.6,BK0149;BK0171
labeling amino acids,2,2,4.6,BK0243;BK0316
lead better understanding,2,2,4.6,BK0210;BK0242
leading cell death,2,2,4.6,BK0024;BK0300
leucinyl vinyl methyl,2,2,4.6,BK0357;BK0364
leukocyte antigen hla,2,2,4.6,BK0125;BK0204
linked ubiquitin chains,2,2,4.6,BK0115;BK0317
liquid chromatography collision,2,2,4.6,BK0281;BK0309
liquid chromatography coupled,2,2,4.6,BK0282;BK0312
lung cancer patients,2,2,4.6,BK0003;BK0037
lysine demethylases kdms,2,2,4.6,BK0105;BK0156
machine perfusion hmp,2,2,4.6,BK0049;BK0070
machine perfusion nmp,2,2,4.6,BK0008;BK0075
main outcome measure,2,2,4.6,BK0081;BK0292
maintaining genome integrity,2,2,4.6,BK0216;BK0293
malaria severe neurological,2,2,4.6,BK0137;BK0138
male drosophila melanogaster,2,2,4.6,BK0021;BK0114
male reproductive success,2,2,4.6,BK0021;BK0064
mapped mass spectrometry,2,2,4.6,BK0151;BK0181
markers oxidative stress,2,2,4.6,BK0032;BK0197
mass spectrometry detection,2,2,4.6,BK0109;BK0254
mass spectrometry proteomic,2,2,4.6,BK0027;BK0082
mass spectrometry rapid,2,2,4.6,BK0120;BK0359
mass spectrometry workflow,2,2,4.6,BK0051;BK0176
matrix metalloproteinase mmp9,2,2,4.6,BK0149;BK0242
metastases colorectal cancer,2,2,4.6,BK0113;BK0123
metastatic prostate cancer,2,2,4.6,BK0211;BK0321
mhc class antigen,2,2,4.6,BK0349;BK0361
mhc class ligand,2,2,4.6,BK0357;BK0361
min warm ischaemia,2,2,4.6,BK0032;BK0136
molecular dynamics simulations,2,2,4.6,BK0022;BK0188
molecular mechanism underlying,2,2,4.6,BK0182;BK0184
mouse embryonic fibroblasts,2,2,4.6,BK0265;BK0269
multiple myeloma cells,2,2,4.6,BK0251;BK0342
muscle mass sarcopenia,2,2,4.6,BK0304;BK0329
myeloid leukaemia cml,2,2,4.6,BK0043;BK0062
myosin heavy chain,2,2,4.6,BK0005;BK0335
negative feedback loop,2,2,4.6,BK0133;BK0291
neuroblastoma cell line,2,2,4.6,BK0042;BK0092
obstructive pulmonary disease,2,2,4.6,BK0120;BK0206
ogfod1 catalyzes prolyl,2,2,4.6,BK0223;BK0225
open reading frame,2,2,4.6,BK0209;BK0373
orchestrated changes expression,2,2,4.6,BK0303;BK0308
ovarian tumor domain,2,2,4.6,BK0213;BK0348
overlapping cdna clones,2,2,4.6,BK0372;BK0373
oxoglutarate dependent oxygenases,2,2,4.6,BK0223;BK0270
pathogens human immunodeficiency,2,2,4.6,BK0125;BK0204
pathological hallmark amyotrophic,2,2,4.6,BK0020;BK0063
peptide derivative variants,2,2,4.6,BK0368;BK0369
peptide pbcs syipsaeki,2,2,4.6,BK0367;BK0368
peptidyl arginine deiminase,2,2,4.6,BK0169;BK0175
peripheral blood monocytes,2,2,4.6,BK0259;BK0312
photoreactive peptide derivative,2,2,4.6,BK0366;BK0369
plasmodium falciparum infection,2,2,4.6,BK0138;BK0239
plasmodium falciparum malaria,2,2,4.6,BK0219;BK0266
poly binding protein,2,2,4.6,BK0079;BK0104
positive feedback mechanism,2,2,4.6,BK0094;BK0240
prc1 polycomb repressive,2,2,4.6,BK0167;BK0190
predispose hereditary leiomyomatosis,2,2,4.6,BK0229;BK0271
proapoptotic factor bax,2,2,4.6,BK0344;BK0347
processes cell cycle,2,2,4.6,BK0004;BK0354
profiles urine samples,2,2,4.6,BK0049;BK0292
profiling performance liquid,2,2,4.6,BK0282;BK0312
promising drug targets,2,2,4.6,BK0012;BK0028
proteases cleave ubiquitin,2,2,4.6,BK0179;BK0213
proteasome system ups,2,2,4.6,BK0153;BK0304
proteasome transporter antigen,2,2,4.6,BK0325;BK0349
protein arginine methylation,2,2,4.6,BK0169;BK0205
protein gene expression,2,2,4.6,BK0055;BK0308
proteins differentially expressed,2,2,4.6,BK0241;BK0329
proteins involved glucose,2,2,4.6,BK0112;BK0308
proteome composition transfer,2,2,4.6,BK0021;BK0086
proteomic profiling plasma,2,2,4.6,BK0014;BK0138
purified ubiquitin ligase,2,2,4.6,BK0265;BK0318
quantitative expression profiling,2,2,4.6,BK0282;BK0312
rapid complex dissociation,2,2,4.6,BK0368;BK0370
receiver operating characteristic,2,2,4.6,BK0219;BK0257
receiver operating characteristics,2,2,4.6,BK0051;BK0093
recognition cpg islands,2,2,4.6,BK0127;BK0262
regulate gene expression,2,2,4.6,BK0127;BK0246
regulating dna repair,2,2,4.6,BK0069;BK0293
regulating gene expression,2,2,4.6,BK0084;BK0295
regulator mrna processing,2,2,4.6,BK0083;BK0104
repair ber cellular,2,2,4.6,BK0202;BK0318
repair dna breaks,2,2,4.6,BK0026;BK0216
reperfusion injury iri,2,2,4.6,BK0052;BK0136
replication fork progression,2,2,4.6,BK0178;BK0184
repressive complexes prc1,2,2,4.6,BK0180;BK0231
required genome stability,2,2,4.6,BK0269;BK0293
residue transcriptional activation,2,2,4.6,BK0273;BK0279
residues protein keap1,2,2,4.6,BK0133;BK0287
response replication stress,2,2,4.6,BK0071;BK0212
reticulum aminopeptidase erap1,2,2,4.6,BK0218;BK0275
rheumatoid arthritis healthy,2,2,4.6,BK0255;BK0312
risk factor rheumatoid,2,2,4.6,BK0151;BK0206
rmi1 rmi2 form,2,2,4.6,BK0024;BK0071
rmi2 form btr,2,2,4.6,BK0024;BK0071
seminal proteome composition,2,2,4.6,BK0021;BK0086
sensitive specific biomarker,2,2,4.6,BK0093;BK0229
serum amyloid component,2,2,4.6,BK0257;BK0263
severe neurological complication,2,2,4.6,BK0137;BK0138
shed light mechanisms,2,2,4.6,BK0013;BK0282
shock protein hsp,2,2,4.6,BK0303;BK0334
skeletal muscle mass,2,2,4.6,BK0304;BK0329
small molecule dub,2,2,4.6,BK0256;BK0272
small molecule inhibitor,2,2,4.6,BK0056;BK0251
specific photoreactive derivative,2,2,4.6,BK0367;BK0368
sperm seminal proteome,2,2,4.6,BK0086;BK0106
spondylitis common inflammatory,2,2,4.6,BK0255;BK0257
statistical learning skills,2,2,4.6,BK0139;BK0238
subjected min warm,2,2,4.6,BK0032;BK0136
sup sup cells,2,2,4.6,BK0015;BK0080
suppressor protein prb,2,2,4.6,BK0162;BK0280
survival hazard ratio,2,2,4.6,BK0027;BK0122
syndrome helicase blm,2,2,4.6,BK0024;BK0071
target gene transcription,2,2,4.6,BK0059;BK0301
target genes susceptible,2,2,4.6,BK0162;BK0190
topoisomerase iii alpha,2,2,4.6,BK0024;BK0071
transcription factor atf3,2,2,4.6,BK0326;BK0334
transcription factor factor,2,2,4.6,BK0288;BK0316
transmembrane domain tmd,2,2,4.6,BK0085;BK0117
transporter antigen processing,2,2,4.6,BK0325;BK0349
tumor suppressor gene,2,2,4.6,BK0261;BK0301
tumor suppressor p53,2,2,4.6,BK0155;BK0261
tumour suppressor protein,2,2,4.6,BK0280;BK0319
understanding disease mechanisms,2,2,4.6,BK0186;BK0267
understanding protective immunity,2,2,4.6,BK0080;BK0131
variety cellular processes,2,2,4.6,BK0157;BK0345
women reproductive age,2,2,4.6,BK0011;BK0078
abundance als,2,2,4.0,BK0027;BK0122
abundance proteins,2,2,4.0,BK0027;BK0100
accessory glands,2,2,4.0,BK0064;BK0098
accumulation dna,2,2,4.0,BK0201;BK0293
accumulation muscle,2,2,4.0,BK0052;BK0088
acid transporter,2,2,4.0,BK0001;BK0134
acid transporters,2,2,4.0,BK0001;BK0263
acids biological,2,2,4.0,BK0043;BK0174
acids lipids,2,2,4.0,BK0166;BK0248
act oncometabolite,2,2,4.0,BK0229;BK0271
actin cytoskeleton,2,2,4.0,BK0047;BK0209
actin filaments,2,2,4.0,BK0072;BK0209
activation immune,2,2,4.0,BK0014;BK0298
activation lectin,2,2,4.0,BK0326;BK0332
activation vitro,2,2,4.0,BK0061;BK0140
activator p300,2,2,4.0,BK0203;BK0320
active subunits,2,2,4.0,BK0256;BK0364
activity binding,2,2,4.0,BK0115;BK0371
activity cell,2,2,4.0,BK0107;BK0314
activity cellular,2,2,4.0,BK0103;BK0119
activity human,2,2,4.0,BK0055;BK0198
activity probe,2,2,4.0,BK0012;BK0339
activity probes,2,2,4.0,BK0055;BK0234
activity required,2,2,4.0,BK0216;BK0326
acute infections,2,2,4.0,BK0230;BK0259
acute inflammatory,2,2,4.0,BK0332;BK0335
adaptive immune,2,2,4.0,BK0066;BK0072
addition transient,2,2,4.0,BK0013;BK0088
address question,2,2,4.0,BK0084;BK0221
addresses limitations,2,2,4.0,BK0037;BK0159
adult months,2,2,4.0,BK0304;BK0329
advance understanding,2,2,4.0,BK0011;BK0176
advanced proteomic,2,2,4.0,BK0002;BK0062
affected phosphorylation,2,2,4.0,BK0168;BK0310
affinity interaction,2,2,4.0,BK0041;BK0115
african children,2,2,4.0,BK0219;BK0266
aged months,2,2,4.0,BK0304;BK0329
aged rats,2,2,4.0,BK0304;BK0329
