term,documentFrequency,termFrequency,documentShare,score,sourceIds
nucleotide,2,3,0.005362,4.643856,BK0099;BK0201
occupancy,2,3,0.005362,4.643856,BK0084;BK0231
oral,2,3,0.005362,4.643856,BK0161;BK0163
orbitrap,2,3,0.005362,4.643856,BK0120;BK0159
pairing,2,3,0.005362,4.643856,BK0015;BK0034
particles,2,3,0.005362,4.643856,BK0089;BK0145
pbmc,2,3,0.005362,4.643856,BK0260;BK0298
pcr,2,3,0.005362,4.643856,BK0140;BK0282
pediatric,2,3,0.005362,4.643856,BK0128;BK0138
phonemes,2,3,0.005362,4.643856,BK0139;BK0238
phosphoproteomics,2,3,0.005362,4.643856,BK0052;BK0182
placental,2,3,0.005362,4.643856,BK0199;BK0263
plasmid,2,3,0.005362,4.643856,BK0224;BK0343
poly,2,3,0.005362,4.643856,BK0079;BK0104
polyubiquitin,2,3,0.005362,4.643856,BK0091;BK0317
polyubiquitination,2,3,0.005362,4.643856,BK0055;BK0278
pools,2,3,0.005362,4.643856,BK0263;BK0281
porphyromonas,2,3,0.005362,4.643856,BK0151;BK0163
postoperative,2,3,0.005362,4.643856,BK0014;BK0023
predicts,2,3,0.005362,4.643856,BK0106;BK0124
productions,2,3,0.005362,4.643856,BK0139;BK0238
proinflammatory,2,3,0.005362,4.643856,BK0163;BK0240
prokaryotic,2,3,0.005362,4.643856,BK0264;BK0358
proliferative,2,3,0.005362,4.643856,BK0164;BK0184
prolonged,2,3,0.005362,4.643856,BK0008;BK0075
ptm,2,3,0.005362,4.643856,BK0067;BK0205
reads,2,3,0.005362,4.643856,BK0099;BK0233
recognised,2,3,0.005362,4.643856,BK0181;BK0289
recognizing,2,3,0.005362,4.643856,BK0234;BK0240
relapsed,2,3,0.005362,4.643856,BK0251;BK0342
repeats,2,3,0.005362,4.643856,BK0273;BK0282
rheumatic,2,3,0.005362,4.643856,BK0255;BK0257
rise,2,3,0.005362,4.643856,BK0252;BK0349
saa2,2,3,0.005362,4.643856,BK0014;BK0088
sarcomeric,2,3,0.005362,4.643856,BK0045;BK0083
scanning,2,3,0.005362,4.643856,BK0195;BK0337
sensor,2,3,0.005362,4.643856,BK0130;BK0268
sepsis,2,3,0.005362,4.643856,BK0131;BK0351
sequential,2,3,0.005362,4.643856,BK0006;BK0267
sex,2,3,0.005362,4.643856,BK0064;BK0219
spatially,2,3,0.005362,4.643856,BK0030;BK0102
spell,2,3,0.005362,4.643856,BK0139;BK0238
stabilized,2,3,0.005362,4.643856,BK0158;BK0212
stalling,2,3,0.005362,4.643856,BK0074;BK0099
stochastic,2,3,0.005362,4.643856,BK0089;BK0099
stop,2,3,0.005362,4.643856,BK0223;BK0226
subdomains,2,3,0.005362,4.643856,BK0042;BK0373
subgroups,2,3,0.005362,4.643856,BK0048;BK0212
supplementation,2,3,0.005362,4.643856,BK0286;BK0299
symmetric,2,3,0.005362,4.643856,BK0233;BK0358
tailored,2,3,0.005362,4.643856,BK0037;BK0260
tegument,2,3,0.005362,4.643856,BK0338;BK0352
transgene,2,3,0.005362,4.643856,BK0140;BK0260
trends,2,3,0.005362,4.643856,BK0173;BK0241
triglyceride,2,3,0.005362,4.643856,BK0094;BK0129
trimming,2,3,0.005362,4.643856,BK0053;BK0275
triple,2,3,0.005362,4.643856,BK0132;BK0328
truncated,2,3,0.005362,4.643856,BK0063;BK0158
ultraperformance,2,3,0.005362,4.643856,BK0309;BK0321
vectors,2,3,0.005362,4.643856,BK0247;BK0267
virions,2,3,0.005362,4.643856,BK0326;BK0352
volume,2,3,0.005362,4.643856,BK0008;BK0171
weighted,2,3,0.005362,4.643856,BK0027;BK0068
writing,2,3,0.005362,4.643856,BK0139;BK0238
young,2,3,0.005362,4.643856,BK0150;BK0238
plaque,1,20,0.002681,4.459432,BK0149
hfe,1,16,0.002681,4.169925,BK0314
stbm,1,15,0.002681,4.087463,BK0263
abdominal,2,2,0.005362,4.0,BK0051;BK0191
abolishes,2,2,0.005362,4.0,BK0338;BK0344
abrogated,2,2,0.005362,4.0,BK0036;BK0045
acceleration,2,2,0.005362,4.0,BK0228;BK0368
accumulated,2,2,0.005362,4.0,BK0008;BK0282
accumulates,2,2,0.005362,4.0,BK0177;BK0240
acetaminophen,2,2,0.005362,4.0,BK0161;BK0173
acetyltransferases,2,2,0.005362,4.0,BK0169;BK0344
acting,2,2,0.005362,4.0,BK0208;BK0355
activators,2,2,0.005362,4.0,BK0108;BK0360
adaptations,2,2,0.005362,4.0,BK0008;BK0304
additive,2,2,0.005362,4.0,BK0084;BK0244
adenosine,2,2,0.005362,4.0,BK0033;BK0157
adherence,2,2,0.005362,4.0,BK0068;BK0154
adjuvant,2,2,0.005362,4.0,BK0137;BK0217
admitted,2,2,0.005362,4.0,BK0093;BK0138
advance,2,2,0.005362,4.0,BK0011;BK0176
advancing,2,2,0.005362,4.0,BK0031;BK0057
advantage,2,2,0.005362,4.0,BK0168;BK0200
advantages,2,2,0.005362,4.0,BK0018;BK0166
aggregated,2,2,0.005362,4.0,BK0168;BK0173
aggressive,2,2,0.005362,4.0,BK0025;BK0200
agreement,2,2,0.005362,4.0,BK0129;BK0173
aid,2,2,0.005362,4.0,BK0052;BK0223
algorithms,2,2,0.005362,4.0,BK0039;BK0219
alignment,2,2,0.005362,4.0,BK0199;BK0338
aliphatic,2,2,0.005362,4.0,BK0109;BK0248
alleles,2,2,0.005362,4.0,BK0125;BK0246
already,2,2,0.005362,4.0,BK0136;BK0283
amelioration,2,2,0.005362,4.0,BK0086;BK0267
aminohexanoyl,2,2,0.005362,4.0,BK0357;BK0364
amount,2,2,0.005362,4.0,BK0342;BK0351
analgesic,2,2,0.005362,4.0,BK0078;BK0134
analog,2,2,0.005362,4.0,BK0065;BK0099
analyze,2,2,0.005362,4.0,BK0218;BK0257
antiparallel,2,2,0.005362,4.0,BK0041;BK0360
antitumor,2,2,0.005362,4.0,BK0007;BK0034
apex2,2,2,0.005362,4.0,BK0029;BK0030
apo,2,2,0.005362,4.0,BK0022;BK0165
appeared,2,2,0.005362,4.0,BK0104;BK0186
applicability,2,2,0.005362,4.0,BK0078;BK0120
approved,2,2,0.005362,4.0,BK0043;BK0195
archaic,2,2,0.005362,4.0,BK0185;BK0199
ards,2,2,0.005362,4.0,BK0273;BK0327
arginines,2,2,0.005362,4.0,BK0169;BK0318
argue,2,2,0.005362,4.0,BK0248;BK0301
arise,2,2,0.005362,4.0,BK0078;BK0301
around,2,2,0.005362,4.0,BK0156;BK0168
array,2,2,0.005362,4.0,BK0004;BK0331
arsenite,2,2,0.005362,4.0,BK0193;BK0210
artificial,2,2,0.005362,4.0,BK0003;BK0267
aspect,2,2,0.005362,4.0,BK0141;BK0285
assemble,2,2,0.005362,4.0,BK0073;BK0180
associations,2,2,0.005362,4.0,BK0204;BK0249
atf3,2,2,0.005362,4.0,BK0326;BK0334
attempt,2,2,0.005362,4.0,BK0238;BK0328
atxn3,2,2,0.005362,4.0,BK0028;BK0055
augmented,2,2,0.005362,4.0,BK0148;BK0302
authors,2,2,0.005362,4.0,BK0113;BK0139
avenue,2,2,0.005362,4.0,BK0007;BK0135
avenues,2,2,0.005362,4.0,BK0081;BK0095
axial,2,2,0.005362,4.0,BK0255;BK0257
azidobenzoic,2,2,0.005362,4.0,BK0366;BK0369
band,2,2,0.005362,4.0,BK0206;BK0273
became,2,2,0.005362,4.0,BK0075;BK0129
becomes,2,2,0.005362,4.0,BK0278;BK0322
believed,2,2,0.005362,4.0,BK0319;BK0333
belonging,2,2,0.005362,4.0,BK0136;BK0348
belongs,2,2,0.005362,4.0,BK0276;BK0338
biallelic,2,2,0.005362,4.0,BK0036;BK0184
bias,2,2,0.005362,4.0,BK0186;BK0205
binder,2,2,0.005362,4.0,BK0060;BK0189
bioactive,2,2,0.005362,4.0,BK0043;BK0210
biochemistry,2,2,0.005362,4.0,BK0152;BK0208
biocompatible,2,2,0.005362,4.0,BK0187;BK0340
bioenergetics,2,2,0.005362,4.0,BK0050;BK0148
bioinformatic,2,2,0.005362,4.0,BK0085;BK0229
biophysical,2,2,0.005362,4.0,BK0143;BK0288
biosynthesis,2,2,0.005362,4.0,BK0202;BK0343
blockade,2,2,0.005362,4.0,BK0095;BK0251
blocked,2,2,0.005362,4.0,BK0077;BK0314
blotting,2,2,0.005362,4.0,BK0030;BK0111
bonds,2,2,0.005362,4.0,BK0002;BK0187
brains,2,2,0.005362,4.0,BK0137;BK0177
branched,2,2,0.005362,4.0,BK0073;BK0338
breeding,2,2,0.005362,4.0,BK0135;BK0140
brings,2,2,0.005362,4.0,BK0007;BK0013
broadly,2,2,0.005362,4.0,BK0016;BK0086
broken,2,2,0.005362,4.0,BK0142;BK0357
c8166,2,2,0.005362,4.0,BK0125;BK0176
carbohydrate,2,2,0.005362,4.0,BK0008;BK0281
catabolism,2,2,0.005362,4.0,BK0023;BK0351
catalytically,2,2,0.005362,4.0,BK0178;BK0364
catalyze,2,2,0.005362,4.0,BK0223;BK0264
catastrophic,2,2,0.005362,4.0,BK0024;BK0065
cation,2,2,0.005362,4.0,BK0294;BK0314
cd55,2,2,0.005362,4.0,BK0140;BK0263
cd81,2,2,0.005362,4.0,BK0102;BK0263
centered,2,2,0.005362,4.0,BK0316;BK0353
channels,2,2,0.005362,4.0,BK0017;BK0303
chemically,2,2,0.005362,4.0,BK0187;BK0249
chemokine,2,2,0.005362,4.0,BK0144;BK0183
chemotherapy,2,2,0.005362,4.0,BK0062;BK0124
circuit,2,2,0.005362,4.0,BK0100;BK0232
circumvent,2,2,0.005362,4.0,BK0013;BK0052
ck2,2,2,0.005362,4.0,BK0110;BK0253
cleaved,2,2,0.005362,4.0,BK0044;BK0047
clients,2,2,0.005362,4.0,BK0117;BK0297
closest,2,2,0.005362,4.0,BK0076;BK0223
cluster,2,2,0.005362,4.0,BK0237;BK0297
clustering,2,2,0.005362,4.0,BK0049;BK0070
code,2,2,0.005362,4.0,BK0091;BK0187
coexist,2,2,0.005362,4.0,BK0175;BK0268
coincident,2,2,0.005362,4.0,BK0298;BK0333
colony,2,2,0.005362,4.0,BK0164;BK0343
comes,2,2,0.005362,4.0,BK0106;BK0174
community,2,2,0.005362,4.0,BK0171;BK0267
competitive,2,2,0.005362,4.0,BK0036;BK0105
complemented,2,2,0.005362,4.0,BK0005;BK0225
complicated,2,2,0.005362,4.0,BK0274;BK0364
concurrent,2,2,0.005362,4.0,BK0222;BK0244
conferred,2,2,0.005362,4.0,BK0196;BK0247
confirmation,2,2,0.005362,4.0,BK0116;BK0185
confirms,2,2,0.005362,4.0,BK0074;BK0180
conjugate,2,2,0.005362,4.0,BK0278;BK0369
connected,2,2,0.005362,4.0,BK0091;BK0221
consequent,2,2,0.005362,4.0,BK0092;BK0175
consistency,2,2,0.005362,4.0,BK0145;BK0294
constituents,2,2,0.005362,4.0,BK0311;BK0312
constitutively,2,2,0.005362,4.0,BK0364;BK0367
contents,2,2,0.005362,4.0,BK0064;BK0149
convalescent,2,2,0.005362,4.0,BK0080;BK0239
conversion,2,2,0.005362,4.0,BK0094;BK0123
converts,2,2,0.005362,4.0,BK0175;BK0201
convey,2,2,0.005362,4.0,BK0210;BK0263
cooperates,2,2,0.005362,4.0,BK0119;BK0130
cooperation,2,2,0.005362,4.0,BK0110;BK0119
cooperative,2,2,0.005362,4.0,BK0036;BK0124
coordinates,2,2,0.005362,4.0,BK0090;BK0366
correctly,2,2,0.005362,4.0,BK0271;BK0360
count,2,2,0.005362,4.0,BK0022;BK0124
couples,2,2,0.005362,4.0,BK0147;BK0191
coupling,2,2,0.005362,4.0,BK0006;BK0363
covering,2,2,0.005362,4.0,BK0103;BK0159
crosslinks,2,2,0.005362,4.0,BK0130;BK0184
crp,2,2,0.005362,4.0,BK0014;BK0088
crystals,2,2,0.005362,4.0,BK0189;BK0358
cues,2,2,0.005362,4.0,BK0021;BK0072
cultured,2,2,0.005362,4.0,BK0301;BK0339
cultures,2,2,0.005362,4.0,BK0083;BK0209
cumulative,2,2,0.005362,4.0,BK0131;BK0347
curative,2,2,0.005362,4.0,BK0154;BK0342
dampening,2,2,0.005362,4.0,BK0042;BK0170
deceased,2,2,0.005362,4.0,BK0047;BK0116
decipher,2,2,0.005362,4.0,BK0018;BK0052
decline,2,2,0.005362,4.0,BK0086;BK0106
deconjugation,2,2,0.005362,4.0,BK0091;BK0348
dedicated,2,2,0.005362,4.0,BK0074;BK0248
degradomics,2,2,0.005362,4.0,BK0049;BK0321
dehydroalanine,2,2,0.005362,4.0,BK0147;BK0187
deisgylase,2,2,0.005362,4.0,BK0009;BK0044
deisgylation,2,2,0.005362,4.0,BK0009;BK0058
delays,2,2,0.005362,4.0,BK0006;BK0347
deleterious,2,2,0.005362,4.0,BK0042;BK0201
delivered,2,2,0.005362,4.0,BK0057;BK0204
denaturation,2,2,0.005362,4.0,BK0207;BK0352
deposition,2,2,0.005362,4.0,BK0013;BK0311
deregulation,2,2,0.005362,4.0,BK0165;BK0211
derivatives,2,2,0.005362,4.0,BK0283;BK0309
derivatization,2,2,0.005362,4.0,BK0166;BK0309
derive,2,2,0.005362,4.0,BK0098;BK0263
desorption,2,2,0.005362,4.0,BK0292;BK0294
detects,2,2,0.005362,4.0,BK0082;BK0099
deterioration,2,2,0.005362,4.0,BK0086;BK0303
developmentally,2,2,0.005362,4.0,BK0143;BK0317
develops,2,2,0.005362,4.0,BK0003;BK0334
diagnostics,2,2,0.005362,4.0,BK0174;BK0256
diameter,2,2,0.005362,4.0,BK0051;BK0089
difficulty,2,2,0.005362,4.0,BK0313;BK0316
diffuse,2,2,0.005362,4.0,BK0196;BK0334
dimensional,2,2,0.005362,4.0,BK0008;BK0037
dimerization,2,2,0.005362,4.0,BK0143;BK0244
disassembly,2,2,0.005362,4.0,BK0064;BK0069
discarded,2,2,0.005362,4.0,BK0008;BK0075
discriminate,2,2,0.005362,4.0,BK0093;BK0219
discusses,2,2,0.005362,4.0,BK0033;BK0336
displace,2,2,0.005362,4.0,BK0041;BK0157
displaying,2,2,0.005362,4.0,BK0076;BK0080
disrupt,2,2,0.005362,4.0,BK0016;BK0019
disruptions,2,2,0.005362,4.0,BK0005;BK0068
dissolves,2,2,0.005362,4.0,BK0024;BK0071
disturbed,2,2,0.005362,4.0,BK0197;BK0214
divergence,2,2,0.005362,4.0,BK0020;BK0106
diverges,2,2,0.005362,4.0,BK0072;BK0208
dodecyl,2,2,0.005362,4.0,BK0337;BK0352
doses,2,2,0.005362,4.0,BK0065;BK0201
downregulate,2,2,0.005362,4.0,BK0232;BK0291
driven,2,2,0.005362,4.0,BK0058;BK0091
drivers,2,2,0.005362,4.0,BK0005;BK0013
dubome,2,2,0.005362,4.0,BK0035;BK0103
easy,2,2,0.005362,4.0,BK0248;BK0297
efficacious,2,2,0.005362,4.0,BK0175;BK0247
elicited,2,2,0.005362,4.0,BK0217;BK0259
elisa,2,2,0.005362,4.0,BK0181;BK0241
elongation,2,2,0.005362,4.0,BK0121;BK0226
elucidated,2,2,0.005362,4.0,BK0233;BK0303
eluted,2,2,0.005362,4.0,BK0176;BK0218
embryos,2,2,0.005362,4.0,BK0180;BK0246
emergent,2,2,0.005362,4.0,BK0161;BK0232
employing,2,2,0.005362,4.0,BK0150;BK0159
encompass,2,2,0.005362,4.0,BK0098;BK0307
encounter,2,2,0.005362,4.0,BK0074;BK0178
enforcing,2,2,0.005362,4.0,BK0278;BK0357
engines,2,2,0.005362,4.0,BK0107;BK0297
enhancer,2,2,0.005362,4.0,BK0059;BK0260
ensuring,2,2,0.005362,4.0,BK0226;BK0233
envelope,2,2,0.005362,4.0,BK0020;BK0183
environments,2,2,0.005362,4.0,BK0021;BK0346
epithelium,2,2,0.005362,4.0,BK0101;BK0322
erf3,2,2,0.005362,4.0,BK0223;BK0226
erythrocytes,2,2,0.005362,4.0,BK0273;BK0300
evades,2,2,0.005362,4.0,BK0163;BK0170
evidenced,2,2,0.005362,4.0,BK0141;BK0305
evolving,2,2,0.005362,4.0,BK0098;BK0114
exercise,2,2,0.005362,4.0,BK0106;BK0241
exerts,2,2,0.005362,4.0,BK0224;BK0237
exist,2,2,0.005362,4.0,BK0260;BK0342
exists,2,2,0.005362,4.0,BK0091;BK0373
expanding,2,2,0.005362,4.0,BK0159;BK0205
expands,2,2,0.005362,4.0,BK0187;BK0305
experimentally,2,2,0.005362,4.0,BK0229;BK0352
expert,2,2,0.005362,4.0,BK0002;BK0057
explanation,2,2,0.005362,4.0,BK0087;BK0196
exploitation,2,2,0.005362,4.0,BK0004;BK0227
exploring,2,2,0.005362,4.0,BK0045;BK0187
extension,2,2,0.005362,4.0,BK0003;BK0364
extensions,2,2,0.005362,4.0,BK0248;BK0364
facility,2,2,0.005362,4.0,BK0238;BK0297
familial,2,2,0.005362,4.0,BK0042;BK0301
far,2,2,0.005362,4.0,BK0157;BK0364
fashion,2,2,0.005362,4.0,BK0208;BK0354
faster,2,2,0.005362,4.0,BK0222;BK0337
fastest,2,2,0.005362,4.0,BK0051;BK0114
fasting,2,2,0.005362,4.0,BK0171;BK0304
fibrillar,2,2,0.005362,4.0,BK0245;BK0328
fibronectin,2,2,0.005362,4.0,BK0372;BK0373
filamentous,2,2,0.005362,4.0,BK0110;BK0168
fivefold,2,2,0.005362,4.0,BK0368;BK0369
flexibility,2,2,0.005362,4.0,BK0095;BK0296
fly,2,2,0.005362,4.0,BK0064;BK0356
fmol,2,2,0.005362,4.0,BK0274;BK0337
foci,2,2,0.005362,4.0,BK0110;BK0142
focuses,2,2,0.005362,4.0,BK0241;BK0340
focusing,2,2,0.005362,4.0,BK0040;BK0217
fossil,2,2,0.005362,4.0,BK0188;BK0199
fruit,2,2,0.005362,4.0,BK0064;BK0356
full,2,2,0.005362,4.0,BK0073;BK0125
gained,2,2,0.005362,4.0,BK0015;BK0298
gaining,2,2,0.005362,4.0,BK0238;BK0267
gapdh,2,2,0.005362,4.0,BK0160;BK0229
generates,2,2,0.005362,4.0,BK0039;BK0267
genetically,2,2,0.005362,4.0,BK0135;BK0202
give,2,2,0.005362,4.0,BK0252;BK0364
given,2,2,0.005362,4.0,BK0086;BK0230
glands,2,2,0.005362,4.0,BK0064;BK0098
goal,2,2,0.005362,4.0,BK0057;BK0217
granules,2,2,0.005362,4.0,BK0089;BK0225
grow,2,2,0.005362,4.0,BK0095;BK0173
grp78,2,2,0.005362,4.0,BK0055;BK0079
gtp,2,2,0.005362,4.0,BK0029;BK0148
guanine,2,2,0.005362,4.0,BK0308;BK0326
guide,2,2,0.005362,4.0,BK0124;BK0219
guided,2,2,0.005362,4.0,BK0149;BK0154
guides,2,2,0.005362,4.0,BK0042;BK0175
gwas,2,2,0.005362,4.0,BK0017;BK0275
haematogenous,2,2,0.005362,4.0,BK0154;BK0230
haemoglobin,2,2,0.005362,4.0,BK0120;BK0124
hampered,2,2,0.005362,4.0,BK0050;BK0157
hemoglobin,2,2,0.005362,4.0,BK0078;BK0239
herpes,2,2,0.005362,4.0,BK0331;BK0338
heterogeneous,2,2,0.005362,4.0,BK0122;BK0263
hierarchical,2,2,0.005362,4.0,BK0070;BK0231
highlighted,2,2,0.005362,4.0,BK0027;BK0132
hinder,2,2,0.005362,4.0,BK0135;BK0162
holliday,2,2,0.005362,4.0,BK0024;BK0071
homo,2,2,0.005362,4.0,BK0031;BK0185
homologs,2,2,0.005362,4.0,BK0225;BK0264
hosts,2,2,0.005362,4.0,BK0168;BK0323
hsp,2,2,0.005362,4.0,BK0303;BK0334
hsp70,2,2,0.005362,4.0,BK0263;BK0334
hsp90,2,2,0.005362,4.0,BK0232;BK0334
https,2,2,0.005362,4.0,BK0099;BK0297
hydrolases,2,2,0.005362,4.0,BK0323;BK0363
immature,2,2,0.005362,4.0,BK0259;BK0326
immunoassays,2,2,0.005362,4.0,BK0138;BK0171
immunogen,2,2,0.005362,4.0,BK0204;BK0217
immunogenic,2,2,0.005362,4.0,BK0131;BK0206
immunogenicity,2,2,0.005362,4.0,BK0215;BK0371
immunomodulation,2,2,0.005362,4.0,BK0023;BK0043
immunomodulatory,2,2,0.005362,4.0,BK0163;BK0352
immunopeptidome,2,2,0.005362,4.0,BK0176;BK0204
immunopeptidomes,2,2,0.005362,4.0,BK0132;BK0176
immunoregulatory,2,2,0.005362,4.0,BK0010;BK0263
immunosorbent,2,2,0.005362,4.0,BK0151;BK0281
immunotherapeutic,2,2,0.005362,4.0,BK0007;BK0333
impairments,2,2,0.005362,4.0,BK0016;BK0214
impede,2,2,0.005362,4.0,BK0153;BK0259
impedes,2,2,0.005362,4.0,BK0233;BK0280
implemented,2,2,0.005362,4.0,BK0046;BK0222
implicate,2,2,0.005362,4.0,BK0055;BK0061
implicating,2,2,0.005362,4.0,BK0005;BK0263
inactivate,2,2,0.005362,4.0,BK0110;BK0163
inactivated,2,2,0.005362,4.0,BK0244;BK0291
inception,2,2,0.005362,4.0,BK0173;BK0299
incidence,2,2,0.005362,4.0,BK0023;BK0076
indirect,2,2,0.005362,4.0,BK0242;BK0353
inferred,2,2,0.005362,4.0,BK0042;BK0359
infertility,2,2,0.005362,4.0,BK0011;BK0292
influenced,2,2,0.005362,4.0,BK0010;BK0014
inheritance,2,2,0.005362,4.0,BK0201;BK0295
initiate,2,2,0.005362,4.0,BK0006;BK0231
initiated,2,2,0.005362,4.0,BK0300;BK0344
initiates,2,2,0.005362,4.0,BK0090;BK0335
injured,2,2,0.005362,4.0,BK0055;BK0136
input,2,2,0.005362,4.0,BK0051;BK0222
instrumental,2,2,0.005362,4.0,BK0152;BK0295
integrin,2,2,0.005362,4.0,BK0108;BK0312
inter,2,2,0.005362,4.0,BK0217;BK0257
interfere,2,2,0.005362,4.0,BK0029;BK0323
interleukin,2,2,0.005362,4.0,BK0078;BK0182
interphase,2,2,0.005362,4.0,BK0024;BK0110
interrogate,2,2,0.005362,4.0,BK0103;BK0210
intestine,2,2,0.005362,4.0,BK0050;BK0267
introduced,2,2,0.005362,4.0,BK0003;BK0278
invasive,2,2,0.005362,4.0,BK0037;BK0302
inversely,2,2,0.005362,4.0,BK0177;BK0215
irrelevant,2,2,0.005362,4.0,BK0065;BK0125
irreversibly,2,2,0.005362,4.0,BK0307;BK0363
isoelectric,2,2,0.005362,4.0,BK0282;BK0372
isopeptidase,2,2,0.005362,4.0,BK0147;BK0354
isotope,2,2,0.005362,4.0,BK0202;BK0316
issue,2,2,0.005362,4.0,BK0077;BK0256
january,2,2,0.005362,4.0,BK0023;BK0173
junction,2,2,0.005362,4.0,BK0028;BK0100
jurkat,2,2,0.005362,4.0,BK0204;BK0260
juvenile,2,2,0.005362,4.0,BK0052;BK0129
kappa,2,2,0.005362,4.0,BK0147;BK0194
know,2,2,0.005362,4.0,BK0086;BK0238
landscape,2,2,0.005362,4.0,BK0078;BK0103
lastly,2,2,0.005362,4.0,BK0100;BK0216
later,2,2,0.005362,4.0,BK0045;BK0238
letter,2,2,0.005362,4.0,BK0139;BK0238
libraries,2,2,0.005362,4.0,BK0341;BK0346
license,2,2,0.005362,4.0,BK0274;BK0297
limit,2,2,0.005362,4.0,BK0133;BK0251
linking,2,2,0.005362,4.0,BK0074;BK0079
lipopolysaccharide,2,2,0.005362,4.0,BK0133;BK0149
livers,2,2,0.005362,4.0,BK0221;BK0291
localised,2,2,0.005362,4.0,BK0203;BK0209
localises,2,2,0.005362,4.0,BK0090;BK0180
locally,2,2,0.005362,4.0,BK0209;BK0220
locations,2,2,0.005362,4.0,BK0038;BK0069
locomotor,2,2,0.005362,4.0,BK0177;BK0247
lymphoblastoid,2,2,0.005362,4.0,BK0125;BK0345
lys48,2,2,0.005362,4.0,BK0213;BK0338
lysed,2,2,0.005362,4.0,BK0218;BK0282
macromolecular,2,2,0.005362,4.0,BK0006;BK0064
malignancy,2,2,0.005362,4.0,BK0339;BK0342
manipulated,2,2,0.005362,4.0,BK0021;BK0144
map,2,2,0.005362,4.0,BK0063;BK0099
mark,2,2,0.005362,4.0,BK0105;BK0233
marrow,2,2,0.005362,4.0,BK0300;BK0342
mascot,2,2,0.005362,4.0,BK0120;BK0337
master,2,2,0.005362,4.0,BK0162;BK0175
matching,2,2,0.005362,4.0,BK0103;BK0166
matrices,2,2,0.005362,4.0,BK0113;BK0174
maxquant,2,2,0.005362,4.0,BK0120;BK0274
maybe,2,2,0.005362,4.0,BK0172;BK0215
measure,2,2,0.005362,4.0,BK0081;BK0292
measurement,2,2,0.005362,4.0,BK0099;BK0125
measuring,2,2,0.005362,4.0,BK0241;BK0309
media,2,2,0.005362,4.0,BK0036;BK0321
men,2,2,0.005362,4.0,BK0154;BK0172
metalloproteinase,2,2,0.005362,4.0,BK0149;BK0242
microclusters,2,2,0.005362,4.0,BK0034;BK0102
microdissection,2,2,0.005362,4.0,BK0005;BK0214
microenvironment,2,2,0.005362,4.0,BK0059;BK0191
million,2,2,0.005362,4.0,BK0131;BK0199
mimicking,2,2,0.005362,4.0,BK0234;BK0344
minimally,2,2,0.005362,4.0,BK0037;BK0183
misregulation,2,2,0.005362,4.0,BK0059;BK0293
mixed,2,2,0.005362,4.0,BK0195;BK0218
mobilization,2,2,0.005362,4.0,BK0367;BK0368
moderately,2,2,0.005362,4.0,BK0142;BK0308
modifying,2,2,0.005362,4.0,BK0114;BK0231
modular,2,2,0.005362,4.0,BK0006;BK0156
modulator,2,2,0.005362,4.0,BK0004;BK0224
modulatory,2,2,0.005362,4.0,BK0085;BK0224
monogenic,2,2,0.005362,4.0,BK0135;BK0184
mostly,2,2,0.005362,4.0,BK0078;BK0109
multifactorial,2,2,0.005362,4.0,BK0083;BK0104
must,2,2,0.005362,4.0,BK0178;BK0325
mutagenesis,2,2,0.005362,4.0,BK0187;BK0293
myosin,2,2,0.005362,4.0,BK0005;BK0335
named,2,2,0.005362,4.0,BK0056;BK0083
nanoparticle,2,2,0.005362,4.0,BK0082;BK0145
needs,2,2,0.005362,4.0,BK0074;BK0297
neither,2,2,0.005362,4.0,BK0225;BK0300
neomorphic,2,2,0.005362,4.0,BK0019;BK0048
net,2,2,0.005362,4.0,BK0004;BK0297
neutralization,2,2,0.005362,4.0,BK0144;BK0217
never,2,2,0.005362,4.0,BK0206;BK0325
nexin,2,2,0.005362,4.0,BK0115;BK0242
non,2,2,0.005362,4.0,BK0082;BK0105
none,2,2,0.005362,4.0,BK0081;BK0351
normoglycemic,2,2,0.005362,4.0,BK0160;BK0221
north,2,2,0.005362,4.0,BK0111;BK0181
noted,2,2,0.005362,4.0,BK0052;BK0154
noteworthy,2,2,0.005362,4.0,BK0113;BK0131
nucleosomes,2,2,0.005362,4.0,BK0276;BK0311
observational,2,2,0.005362,4.0,BK0023;BK0172
obstructive,2,2,0.005362,4.0,BK0120;BK0206
obtaining,2,2,0.005362,4.0,BK0056;BK0185
oncogene,2,2,0.005362,4.0,BK0025;BK0192
oncogenesis,2,2,0.005362,4.0,BK0119;BK0287
oncometabolite,2,2,0.005362,4.0,BK0229;BK0271
ones,2,2,0.005362,4.0,BK0304;BK0369
opening,2,2,0.005362,4.0,BK0061;BK0135
opinion,2,2,0.005362,4.0,BK0002;BK0057
opportunity,2,2,0.005362,4.0,BK0066;BK0340
opposing,2,2,0.005362,4.0,BK0116;BK0252
opposite,2,2,0.005362,4.0,BK0088;BK0370
optimally,2,2,0.005362,4.0,BK0020;BK0289
options,2,2,0.005362,4.0,BK0076;BK0267
orchestrated,2,2,0.005362,4.0,BK0303;BK0308
original,2,2,0.005362,4.0,BK0037;BK0131
orthogonal,2,2,0.005362,4.0,BK0116;BK0369
outlined,2,2,0.005362,4.0,BK0035;BK0346
output,2,2,0.005362,4.0,BK0268;BK0297
outside,2,2,0.005362,4.0,BK0040;BK0187
overexpressed,2,2,0.005362,4.0,BK0191;BK0211
owing,2,2,0.005362,4.0,BK0013;BK0119
