term,documentFrequency,termFrequency,documentShare,score,sourceIds
directly,28,30,0.075067,140.0,BK0009;BK0033;BK0041;BK0081;BK0092;BK0102;BK0103;BK0120
class,24,53,0.064343,138.752633,BK0010;BK0046;BK0087;BK0099;BK0109;BK0125;BK0144;BK0155
selective,27,33,0.072386,138.490641,BK0012;BK0017;BK0042;BK0092;BK0096;BK0102;BK0103;BK0105
site,27,33,0.072386,138.490641,BK0018;BK0042;BK0090;BK0092;BK0104;BK0113;BK0115;BK0146
catalytic,26,37,0.069705,137.420458,BK0004;BK0018;BK0041;BK0073;BK0074;BK0090;BK0115;BK0141
inflammatory,25,42,0.067024,136.48579,BK0009;BK0014;BK0027;BK0050;BK0052;BK0058;BK0061;BK0067
expressed,27,30,0.072386,135.0,BK0025;BK0031;BK0079;BK0083;BK0085;BK0101;BK0121;BK0140
leads,27,30,0.072386,135.0,BK0016;BK0050;BK0064;BK0069;BK0074;BK0087;BK0097;BK0107
evidence,27,29,0.072386,133.7633,BK0011;BK0033;BK0034;BK0040;BK0047;BK0050;BK0062;BK0106
mediated,27,29,0.072386,133.7633,BK0007;BK0026;BK0034;BK0059;BK0069;BK0085;BK0097;BK0146
discovery,26,33,0.069705,133.361358,BK0003;BK0007;BK0031;BK0033;BK0046;BK0051;BK0056;BK0093
molecules,26,33,0.069705,133.361358,BK0010;BK0024;BK0043;BK0099;BK0113;BK0120;BK0179;BK0208
metabolic,24,44,0.064343,132.565487,BK0008;BK0020;BK0044;BK0049;BK0050;BK0059;BK0065;BK0075
impaired,27,28,0.072386,132.486046,BK0005;BK0016;BK0018;BK0042;BK0045;BK0050;BK0059;BK0061
understood,27,27,0.072386,131.165487,BK0005;BK0011;BK0026;BK0029;BK0065;BK0084;BK0095;BK0100
regulator,26,31,0.069705,131.154247,BK0004;BK0028;BK0045;BK0061;BK0062;BK0077;BK0083;BK0095
extracellular,25,35,0.067024,130.236334,BK0011;BK0020;BK0039;BK0043;BK0052;BK0079;BK0082;BK0089
transcriptional,25,35,0.067024,130.236334,BK0011;BK0048;BK0050;BK0077;BK0101;BK0105;BK0121;BK0146
detection,24,41,0.064343,130.230354,BK0037;BK0038;BK0043;BK0063;BK0109;BK0114;BK0130;BK0147
induced,26,30,0.069705,130.0,BK0009;BK0026;BK0049;BK0058;BK0059;BK0072;BK0076;BK0077
chromatography,25,34,0.067024,129.248125,BK0006;BK0008;BK0038;BK0051;BK0082;BK0093;BK0109;BK0120
mutations,23,46,0.061662,128.454138,BK0011;BK0019;BK0022;BK0028;BK0029;BK0036;BK0040;BK0048
distinct,26,28,0.069705,127.579155,BK0005;BK0015;BK0026;BK0039;BK0048;BK0084;BK0119;BK0144
process,26,28,0.069705,127.579155,BK0009;BK0010;BK0028;BK0042;BK0078;BK0090;BK0101;BK0103
conserved,25,32,0.067024,127.186571,BK0019;BK0026;BK0071;BK0096;BK0110;BK0143;BK0157;BK0168
substrate,25,32,0.067024,127.186571,BK0001;BK0002;BK0004;BK0019;BK0022;BK0062;BK0073;BK0118
nuclear,24,37,0.064343,126.849653,BK0016;BK0045;BK0072;BK0090;BK0094;BK0104;BK0132;BK0140
replication,22,52,0.058981,126.607525,BK0024;BK0054;BK0071;BK0090;BK0099;BK0107;BK0146;BK0168
although,26,27,0.069705,126.307506,BK0019;BK0021;BK0084;BK0088;BK0107;BK0111;BK0142;BK0145
regulating,26,27,0.069705,126.307506,BK0002;BK0010;BK0061;BK0062;BK0069;BK0073;BK0074;BK0077
dependent,25,31,0.067024,126.109853,BK0072;BK0085;BK0142;BK0143;BK0148;BK0208;BK0209;BK0223
phosphorylation,22,51,0.058981,126.01425,BK0036;BK0061;BK0097;BK0129;BK0142;BK0146;BK0168;BK0182
production,24,36,0.064343,125.95026,BK0009;BK0021;BK0030;BK0040;BK0078;BK0086;BK0098;BK0102
combined,25,30,0.067024,125.0,BK0003;BK0015;BK0016;BK0030;BK0031;BK0032;BK0055;BK0068
regulatory,25,29,0.067024,123.854908,BK0004;BK0010;BK0017;BK0085;BK0094;BK0095;BK0104;BK0126
sensitivity,24,32,0.064343,122.099108,BK0017;BK0037;BK0046;BK0057;BK0063;BK0065;BK0093;BK0106
models,25,27,0.067024,121.449525,BK0003;BK0016;BK0017;BK0027;BK0046;BK0055;BK0062;BK0078
complexes,24,31,0.064343,121.065459,BK0006;BK0019;BK0030;BK0048;BK0053;BK0074;BK0084;BK0087
biomarkers,22,43,0.058981,120.820768,BK0014;BK0027;BK0051;BK0068;BK0082;BK0093;BK0113;BK0122
biomarker,23,36,0.061662,120.702333,BK0003;BK0020;BK0027;BK0037;BK0051;BK0057;BK0068;BK0092
cycle,23,36,0.061662,120.702333,BK0001;BK0004;BK0019;BK0026;BK0081;BK0107;BK0112;BK0118
plasma,20,62,0.053619,120.0,BK0003;BK0014;BK0017;BK0051;BK0083;BK0088;BK0137;BK0138
ligase,23,35,0.061662,119.817427,BK0004;BK0007;BK0012;BK0026;BK0029;BK0033;BK0041;BK0048
modifications,23,35,0.061662,119.817427,BK0002;BK0054;BK0067;BK0084;BK0086;BK0121;BK0157;BK0169
sequence,23,35,0.061662,119.817427,BK0010;BK0099;BK0111;BK0114;BK0157;BK0159;BK0167;BK0181
signalling,23,34,0.061662,118.908275,BK0004;BK0006;BK0011;BK0017;BK0029;BK0032;BK0043;BK0048
presence,24,28,0.064343,117.765374,BK0011;BK0027;BK0029;BK0034;BK0048;BK0059;BK0063;BK0064
similar,24,28,0.064343,117.765374,BK0047;BK0054;BK0055;BK0061;BK0128;BK0139;BK0158;BK0173
upon,24,28,0.064343,117.765374,BK0006;BK0007;BK0009;BK0032;BK0055;BK0064;BK0069;BK0073
decreased,24,27,0.064343,116.591544,BK0015;BK0016;BK0036;BK0040;BK0068;BK0075;BK0104;BK0123
survival,22,36,0.058981,115.454405,BK0004;BK0012;BK0026;BK0027;BK0076;BK0077;BK0113;BK0122
direct,24,26,0.064343,115.376518,BK0031;BK0077;BK0089;BK0111;BK0130;BK0161;BK0169;BK0185
cases,22,34,0.058981,113.73835,BK0003;BK0020;BK0048;BK0057;BK0063;BK0068;BK0076;BK0080
rna,22,32,0.058981,111.924183,BK0009;BK0011;BK0016;BK0020;BK0033;BK0045;BK0057;BK0068
common,23,27,0.061662,111.733563,BK0015;BK0020;BK0027;BK0048;BK0057;BK0078;BK0093;BK0113
enhanced,23,27,0.061662,111.733563,BK0015;BK0034;BK0040;BK0046;BK0075;BK0094;BK0098;BK0100
large,23,27,0.061662,111.733563,BK0021;BK0064;BK0106;BK0112;BK0129;BK0131;BK0168;BK0172
membrane,21,37,0.0563,110.993447,BK0001;BK0017;BK0020;BK0060;BK0065;BK0068;BK0085;BK0092
